CCODE,ISO -3 ,Countries\Indicators,Status,EVI,a,Exposure index,b,Population,,c,Remoteness,,,d,Share of population in low elevated coastal zones ,,e,Economic structure index,f,Export concentration,,g,"Shares of agriculture, forestry and fisheries",,h,Shock index,i,Natural Shock index,j,Victims of natural disasters (%),,k,Agricultural instability,,l,Export instability,,m,HAI,n,Health index,o,Prevalence of undernourishment  in total population (%),,p,Under 5 mortality (per 1000),,q,"Maternal mortality (per 100,000 live birth)",,r,Education index,s,Literacy rate,,t,Gross secondary enrolment ratio,,u,GNI per capita ($),v
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,,
4,AFG,Afghanistan,LDC,39.3,,25.2,,"34,656,032",16.3,,4057.72,51.690,52.1,,0.00,0.0,,32.5,,0.32,26.2,,23.9,38.8,,53.4,,54.4,,1.687,76.6,,7.45,32.1,,20.74,52.5,,48.4,,66.9,,23.0,70.0,,70.4,63.4,,396,67.3,,29.9,,31.7,9.0,t1,55.6,50.7,,633,
12,DZA,Algeria,,14.7,,12.0,,"40,606,052",13.9,,2325.02,7.809,0.0,,0.76,2.2,,31.9,,0.49,45.4,,11.8,18.4,,17.3,,34.7,,0.071,34.9,,7.88,34.5,,4.15,0.0,,88.3,,93.2,,4.6,100.0,,25.2,90.8,,140,88.7,,83.3,,75.1,66.8,t26,99.9,99.8,u1,"4,902",
24,AGO,Angola,LDC,36.8,,35.2,,"28,813,463",19.1,,6335.08,59.793,62.2,,1.44,4.1,,55.4,,0.93,97.9,,8.6,12.9,,38.3,,50.6,,0.676,64.5,,8.27,36.6,,12.80,26.0,,52.5,,67.2,,14.0,85.0,,82.5,56.1,,477,60.5,,37.9,,66.0,54.7,,28.9,21.0,u1,"4,477",
28,ATG,Antigua and Barbuda,,38.6,,53.1,,"100,963",100.0,,5320.91,50.746,50.9,,11.83,33.8,,27.6,,0.56,53.9,,1.8,1.4,,24.0,,47.9,,2.150,79.8,,4.46,16.0,,5.05,0.2,,92.9,,86.4,,26.7,63.8,,8.5,100.0,,59,95.5,r1,99.3,,99.0,98.6,t2,102.7,100.0,,"12,903",
32,ARG,Argentina,,24.3,,30.1,,"43,847,430",12.7,,9484.87,80.724,88.4,,3.03,8.7,,10.7,,0.19,10.9,,7.2,10.5,,18.6,,35.4,,0.222,49.9,,5.37,20.9,,5.52,1.7,,98.6,,98.5,,3.6,100.0,,11.1,99.3,,52,96.0,,98.7,,98.1,97.5,t23,106.8,100.0,,"13,157",
51,ARM,Armenia,,31.2,,27.3,,"2,924,816",54.3,,2929.50,34.794,31.0,,0.00,0.0,,23.9,,0.25,17.7,,18.7,30.0,,35.1,,45.5,,0.652,64.1,,6.49,27.0,,12.43,24.8,,96.1,,98.7,,4.4,100.0,,13.4,97.9,,25,98.3,,93.4,,99.7,99.7,t1,88.5,87.2,,"3,988",
31,AZE,Azerbaijan,,31.2,,29.3,,"9,725,376",35.8,,3190.68,39.224,36.5,,0.00,0.0,,44.7,,0.79,80.8,,6.1,8.7,,33.2,,38.6,,0.566,62.2,,4.28,15.0,,13.33,27.8,,97.5,,95.2,,2.5,100.0,p1,30.9,87.3,,25,98.3,,99.9,,99.8,99.7,,100.3,100.0,u4,"6,447",
44,BHS,Bahamas,,39.1,,54.5,,"391,232",85.3,,5275.14,50.298,50.4,,20.28,58.0,,24.3,,0.51,48.6,,0.9,0.0,,23.8,,47.6,,0.545,61.7,,7.70,33.5,,4.08,0.0,,94.0,,95.0,,10.0,91.7,,10.6,99.6,,80,93.7,,93.0,,95.6,94.1,t3,92.6,91.8,u15,"29,563",
48,BHR,Bahrain,,34.9,,52.3,,"1,425,171",65.4,,3949.64,35.290,31.6,,34.28,97.9,,14.1,,0.34,28.2,,0.3,0.0,,17.5,,28.7,,0.000,0.0,,12.10,57.3,,6.93,6.4,,98.0,,99.7,,5.0,100.0,"p2, p3",7.6,100.0,,15,99.1,,96.4,,94.6,92.7,t24,102.1,100.0,,"22,779",
50,BGD,Bangladesh,LDC,25.2,,22.8,,"162,951,560",0.0,,4204.77,38.537,35.7,,8.92,25.5,,30.2,,0.41,36.0,,15.4,24.4,,27.6,,48.2,,3.973,87.9,,3.09,8.6,,7.09,7.0,,73.2,,84.7,,15.1,83.2,,34.2,85.3,,176,85.7,,61.6,,72.8,63.7,,63.5,59.5,,"1,274",
52,BRB,Barbados,,27.8,,37.6,,"284,996",90.1,,5560.63,53.031,53.8,,0.71,2.0,,4.6,,0.17,8.4,,1.5,0.9,,17.9,,27.7,,0.098,39.1,,4.51,16.3,,7.44,8.1,,99.4,,98.9,,4.4,100.0,,12.3,98.6,,27,98.1,,99.8,,99.7,99.6,t4,109.2,100.0,,"15,207",
84,BLZ,Belize,,43.9,,57.3,,"366,954",86.2,,6411.54,60.416,63.0,,20.53,58.7,,21.5,,0.29,21.8,,13.4,21.1,,30.5,,57.5,,4.500,89.5,,6.20,25.4,,6.08,3.6,,87.8,,97.7,,6.2,98.0,,14.9,97.0,,28,98.1,,77.8,,82.8,77.0,t5,80.8,78.7,,"4,438",
204,BEN,Benin,LDC,34.3,,36.7,,"10,872,298",34.1,,4984.88,47.363,46.7,,11.85,33.9,,32.2,,0.33,27.3,,22.9,37.1,,31.9,,44.8,,1.074,70.6,,5.00,18.9,,10.73,19.1,,49.8,,68.2,,10.3,91.2,,97.6,46.9,,405,66.5,,31.3,,32.9,10.6,t23,56.8,52.0,,882,
64,BTN,Bhutan,LDC,36.3,,39.0,,"797,765",74.3,,4069.51,51.841,52.3,,0.00,0.0,,29.6,,0.37,31.2,,17.5,28.0,,33.5,,41.6,,0.146,44.4,,8.69,38.9,,12.60,25.3,,72.9,,83.2,,20.0,75.0,p2,32.4,86.4,,148,88.0,,62.6,,57.0,42.7,,84.2,82.4,,"2,401",
68,BOL,Bolivia (Plurinational State of),,32.5,,40.0,,"10,887,882",34.1,,8213.58,88.261,97.8,,0.00,0.0,,28.1,,0.41,36.5,,12.6,19.7,,25.0,,41.2,,2.111,79.5,,2.04,2.9,,7.63,8.8,,84.0,,80.5,,20.2,74.7,,36.9,83.7,,206,83.2,,87.4,,92.5,89.9,,86.4,84.9,,"2,981",
72,BWA,Botswana,,45.5,,49.6,,"2,250,260",58.4,,7922.20,86.388,95.5,,0.00,0.0,,44.5,,0.84,86.7,,2.3,2.2,,41.4,,47.4,,0.438,58.8,,8.15,35.9,,15.60,35.3,,79.0,,78.7,,26.0,65.0,,40.6,81.5,,129,89.6,,79.3,,88.2,84.3,t6,76.9,74.3,u17,"6,845",
76,BRA,Brazil,,21.5,,23.0,,"207,652,865",0.0,,8259.86,73.552,79.4,,2.56,7.3,,5.4,,0.13,4.0,,5.0,6.8,,19.9,,39.8,,1.309,73.2,,2.67,6.3,,4.61,0.0,,96.1,,97.9,,2.5,100.0,p1,15.1,96.9,,44,96.8,,94.3,,91.7,89.0,,99.7,99.6,,"10,319",
96,BRN,Brunei Darussalam,,30.8,,43.4,,"423,196",84.0,,5518.25,52.634,53.3,,1.61,4.6,,31.8,,0.64,63.5,,1.0,0.1,,18.1,,32.9,,0.000,0.0,,13.67,65.8,,6.00,3.3,,97.4,,99.5,,2.5,100.0,p1,9.9,100.0,,23,98.5,,95.2,,96.1,94.8,t1,96.1,95.6,,"38,145",
854,BFA,Burkina Faso,LDC,38.2,,36.0,,"18,646,433",25.8,,4538.07,57.493,59.4,,0.00,0.0,,59.0,,0.65,64.4,,32.6,53.5,,40.5,,56.4,,2.211,80.1,,7.54,32.6,,12.36,24.5,,42.9,,66.3,,20.2,74.7,,84.6,54.8,,371,69.4,,19.5,,34.6,12.8,,33.7,26.3,,643,
108,BDI,Burundi,LDC,44.5,,41.1,,"10,524,117",34.6,,5892.86,71.041,76.3,,0.00,0.0,,53.4,,0.47,43.8,,38.1,62.9,,48.0,,56.5,,2.220,80.2,,7.58,32.9,,16.84,39.5,,38.5,,34.5,,67.3,0.0,p4,71.7,62.6,,712,40.9,,42.4,,61.6,48.8,,42.5,36.1,,261,
132,CPV,Cabo Verde,,35.9,,40.6,,"539,560",80.3,,4904.70,46.522,45.7,,5.64,16.1,,20.5,,0.33,26.7,,9.4,14.2,,31.2,,45.8,,0.477,60.0,,7.37,31.7,,9.95,16.5,,89.5,,91.8,,13.7,85.5,,21.4,93.1,,42,96.9,,87.2,,86.8,82.4,,92.9,92.1,,"3,161",
116,KHM,Cambodia,LDC,34.8,,32.2,,"15,762,370",28.4,,4819.20,45.610,44.5,,7.19,20.5,,35.4,,0.31,24.4,,28.4,46.4,,37.3,,61.1,,5.694,92.6,,6.98,29.6,,9.05,13.5,,68.9,,85.8,,15.3,82.8,,30.6,87.5,,161,87.0,,52.1,,73.9,65.2,t25,45.1,38.9,"u17, u14","1,075",
120,CMR,Cameroon,,19.1,,25.7,,"23,439,189",22.3,,5121.90,48.769,48.5,,0.46,1.3,,30.6,,0.40,35.9,,16.0,25.4,,12.5,,24.9,,0.090,38.1,,3.68,11.8,,4.57,0.0,,62.7,,67.8,,7.9,95.2,,79.7,57.8,,596,50.5,,57.6,,71.3,61.7,t24,58.1,53.4,,"1,464",
140,CAF,Central African Republic,LDC,33.6,,40.2,,"4,594,621",47.4,,5051.55,63.052,66.3,,0.00,0.0,,46.9,,0.46,42.4,,31.4,51.5,,27.0,,31.2,,0.221,49.9,,3.81,12.5,,11.82,22.7,,17.4,,22.8,,58.6,10.7,,123.6,31.2,,882,26.6,,11.9,,36.8,15.7,"t24, t23",17.4,8.2,,370,
148,TCD,Chad,LDC,52.4,,37.8,,"14,452,543",29.7,,4316.35,54.895,56.1,,0.00,0.0,,65.5,,0.82,84.4,,28.5,46.6,,67.0,,65.0,,2.977,84.1,,9.98,45.9,,25.73,69.1,,22.1,,37.3,,32.5,54.2,,127.3,28.9,,856,28.8,,6.9,,22.3,0.0,,22.4,13.8,,921,
152,CHL,Chile,,26.6,,33.3,,"17,909,754",26.4,,9726.39,82.028,90.0,,0.37,1.1,,15.8,,0.32,26.0,,4.3,5.6,,19.9,,39.7,,1.499,75.0,,2.32,4.4,,3.20,0.0,,98.5,,99.5,,3.7,100.0,,8.3,100.0,,22,98.6,,97.5,,96.3,95.0,,100.6,100.0,,"14,336",
156,CHN,China,,21.8,,13.9,,"1,403,500,365",0.0,,3848.30,33.942,29.9,,6.55,18.7,,7.1,,0.10,0.4,,9.1,13.8,,29.7,,54.1,,7.950,97.0,,3.58,11.2,,6.62,5.4,,95.2,,96.8,,9.6,92.3,,9.9,100.0,,27,98.2,,93.6,,95.1,93.5,t24,94.3,93.7,,"7,824",
170,COL,Colombia,,22.4,,25.3,,"48,653,419",11.1,,6726.27,62.901,66.1,,1.22,3.5,,20.3,,0.36,31.1,,6.6,9.6,,19.4,,38.9,,1.312,73.3,,2.33,4.5,,3.66,0.0,,95.6,,96.1,,7.1,96.5,,15.3,96.8,,64,95.0,,95.1,,94.2,92.3,,98.1,97.9,,"7,124",
174,COM,Comoros,LDC,52.4,,62.3,,"795,601",74.3,,6859.08,63.915,67.4,,13.24,37.8,e1,69.7,,0.68,68.3,,43.0,71.1,,42.4,,44.4,,2.921,83.8,,2.44,5.1,,17.13,40.4,,49.4,,54.7,,47.0,30.0,p5,73.3,61.6,,335,72.4,,44.1,,49.2,32.3,t23,60.4,55.9,,"1,595",
178,COG,Congo,,31.8,,35.9,,"5,125,821",45.7,,5886.59,55.986,57.5,,0.48,1.4,,39.0,,0.67,67.2,,7.3,10.8,,27.7,,37.0,,0.229,50.3,,5.90,23.8,,10.50,18.3,,63.5,,66.0,,28.2,61.3,,54.1,73.3,,442,63.4,,61.0,,79.3,72.4,"t1, t23",54.5,49.5,,"2,180",
188,CRI,Costa Rica,,25.2,,32.4,,"4,857,274",46.5,,6719.91,62.852,66.1,,0.36,1.0,,16.0,,0.31,24.4,,5.5,7.6,,18.0,,36.0,,0.721,65.4,,2.72,6.6,,3.70,0.0,,98.7,,99.1,,5.6,99.0,,8.8,100.0,,25,98.3,,98.3,,97.4,96.5,t1,123.1,100.0,,"10,544",
384,CIV,Côte D'Ivoire,,16.7,,29.3,,"23,695,919",22.1,,5226.59,49.818,49.8,,3.76,10.8,,34.5,,0.38,33.3,,22.1,35.7,,4.2,,4.9,,0.005,0.0,,3.31,9.8,,6.03,3.4,,45.6,,59.8,,15.4,82.7,,91.8,50.4,,645,46.4,,31.4,,43.9,25.2,,43.9,37.6,,"1,483",
192,CUB,Cuba,,32.7,,26.7,,"11,475,982",33.3,,5650.54,53.863,54.8,,2.91,8.3,,10.2,,0.23,15.5,,3.9,4.9,,38.8,,62.4,,5.174,91.3,,7.68,33.4,,9.56,15.2,,99.4,,99.0,,2.5,100.0,p1,5.5,100.0,,39,97.1,,99.8,,99.8,99.7,,100.4,100.0,,"7,065",
196,CYP,Cyprus,,14.1,,24.7,,"1,170,125",68.4,,2687.03,15.314,6.6,,5.64,16.1,,7.5,,0.21,13.1,,2.1,1.8,,3.5,,6.9,,0.003,0.0,,4.07,13.9,,3.13,0.0,,99.5,,99.9,,4.7,100.0,,2.6,100.0,,7,99.8,,99.0,,98.7,98.2,t1,99.8,99.8,u13,"25,752",
408,PRK,Democratic People's Republic of Korea,,31.5,,26.3,,"25,368,620",21.1,,4273.76,39.380,36.7,,5.13,14.7,,32.6,,0.36,30.1,,21.7,35.1,,36.7,,57.0,,5.046,91.0,,5.74,22.9,,9.93,16.4,,86.1,,75.9,,40.8,40.3,,20.0,93.9,,82,93.5,,96.3,,100.0,100.0,t26,93.4,92.7,,668,
180,COD,Democratic Republic of the Congo,LDC,27.2,,25.1,,"78,736,153",3.7,,5893.09,56.043,57.6,,0.04,0.1,,38.9,,0.49,45.4,,20.1,32.3,,29.4,,19.4,,0.062,33.2,,2.53,5.6,,16.84,39.5,,41.9,,30.4,,69.0,0.0,p6,94.3,48.9,,693,42.4,,53.3,,77.0,69.4,,43.5,37.2,,481,
262,DJI,Djibouti,LDC,36.3,,40.2,,"942,333",71.7,,4831.86,45.746,44.7,,12.35,35.3,,9.2,,0.22,14.6,,3.3,3.9,,32.4,,61.5,,5.795,92.8,,7.09,30.2,,6.00,3.3,,58.0,,78.5,,12.8,87.0,,64.2,67.2,,229,81.2,,37.6,,49.5,32.7,t7,48.3,42.5,,"1,894",
212,DMA,Dominica,,40.8,,50.0,,"73,543",100.0,,5441.90,51.912,52.4,,5.80,16.6,e1,31.0,,0.41,36.2,,16.3,25.9,,31.6,,51.7,,2.562,82.1,,5.45,21.3,,8.43,11.4,,92.7,,93.3,,5.8,98.7,,34.0,85.5,,54,95.9,r1,92.0,,88.0,84.0,t8,100.5,100.0,,"6,547",
214,DOM,Dominican Republic,,23.8,,25.1,,"10,648,791",34.4,,5454.59,52.033,52.5,,1.23,3.5,,9.9,,0.20,11.6,,5.8,8.1,,22.6,,43.7,,1.682,76.5,,3.52,10.9,,5.42,1.4,,85.5,,88.7,,13.5,85.8,,30.7,87.5,,92,92.7,,82.3,,92.0,89.3,,77.8,75.4,,"6,256",
218,ECU,Ecuador,,28.2,,34.8,,"16,385,068",27.8,,7279.86,67.003,71.3,,5.19,14.8,,25.4,,0.41,36.1,,9.7,14.8,,21.5,,43.1,,0.873,67.9,,4.87,18.2,,4.71,0.0,,94.2,,92.2,,12.1,88.2,,20.9,93.4,,64,95.1,,96.2,,94.4,92.5,,107.2,100.0,,"5,993",
818,EGY,Egypt,,17.9,,21.7,,"95,688,681",0.7,,2952.68,20.203,12.8,,21.52,61.5,,12.0,,0.15,6.3,,11.4,17.7,,14.1,,5.0,,0.002,0.0,,3.35,10.0,,11.97,23.2,,86.1,,96.6,,4.5,100.0,,22.8,92.2,,33,97.7,,75.7,,75.1,66.7,,86.1,84.6,,"3,340",
222,SLV,El Salvador,,28.1,,31.2,,"6,344,722",42.4,,6701.29,62.708,65.9,,0.50,1.4,,14.9,,0.21,13.4,,10.7,16.5,,25.1,,48.2,,2.797,83.2,,3.93,13.1,,5.59,2.0,,87.1,,93.6,,12.3,87.8,,15.0,97.0,,54,95.9,,80.5,,88.0,84.0,,79.4,77.1,,"3,851",
226,GNQ,Equatorial Guinea,,27.8,,41.8,,"1,221,490",67.7,,5150.85,49.061,48.8,,5.42,15.5,e1,35.2,,0.68,68.7,,1.9,1.6,,13.9,,0.0,,0.000,0.0,,1.47,0.0,,13.32,27.7,,58.4,,60.4,,30.0,58.3,p2,90.9,51.0,,342,71.8,,56.5,,95.2,93.6,t6,27.5,19.4,u5,"9,665",
232,ERI,Eritrea,LDC,54.7,,29.5,,"4,954,645",46.2,,4366.85,40.498,38.1,,0.77,2.2,,31.6,,0.40,35.6,,17.2,27.5,,79.9,,70.9,,5.500,92.1,,10.67,49.6,,31.68,88.9,,42.9,,47.9,,61.3,6.2,p4,44.5,79.1,,501,58.5,,37.9,,64.7,52.9,t26,30.5,22.8,,862,
231,ETH,Ethiopia,LDC,32.1,,27.2,,"102,403,196",0.0,,4923.47,61.720,64.6,,0.00,0.0,,44.2,,0.30,23.9,,39.0,64.4,,37.0,,49.5,,3.217,85.1,,4.07,13.9,,12.35,24.5,,45.3,,67.3,,28.8,60.3,,58.4,70.7,,353,70.9,,23.3,,39.0,18.7,t27,35.2,28.0,,644,
242,FJI,Fiji,,39.9,,48.7,,"898,760",72.5,,9939.57,83.153,91.4,,4.89,14.0,,16.9,,0.23,14.9,,12.2,19.0,,31.0,,58.3,,4.728,90.1,,6.40,26.5,,6.13,3.8,,93.0,,96.9,,4.6,100.0,,22.0,92.7,,30,97.9,,89.0,,93.0,90.7,t9,88.7,87.4,,"4,779",
266,GAB,Gabon,,32.8,,42.5,,"1,979,786",60.3,,5465.32,52.135,52.7,,4.94,14.1,,42.8,,0.78,80.2,,4.2,5.4,,23.1,,35.7,,0.235,50.6,,5.35,20.8,,8.11,10.4,,72.7,,83.4,,7.0,96.7,,47.4,77.3,,291,76.1,,62.1,,82.3,76.4,t23,53.1,47.9,u5,"8,001",
270,GMB,Gambia,LDC,72.2,,51.0,,"2,038,501",59.9,,4886.98,46.334,45.4,,23.53,67.2,,31.4,,0.35,29.9,,20.5,33.0,,93.3,,86.6,,1.712,76.8,,19.35,96.5,,60.88,100.0,,51.8,,66.0,,10.9,90.2,,65.3,66.5,,706,41.3,,37.7,,42.0,22.6,t23,57.5,52.7,"u15, u14",449,
268,GEO,Georgia,,26.9,,20.5,,"3,925,405",49.8,,2892.23,19.130,11.4,,2.76,7.9,,12.8,,0.20,11.9,,9.1,13.7,,33.3,,58.8,,0.964,69.2,,10.44,48.3,,7.36,7.9,,98.8,,97.9,,7.0,96.7,,10.7,99.6,,36,97.4,,99.7,,99.6,99.4,,103.7,100.0,,"3,894",
288,GHA,Ghana,,33.7,,27.7,,"28,206,728",19.5,,5115.52,48.704,48.4,,2.62,7.5,,35.6,,0.43,38.5,,20.2,32.6,,39.7,,29.5,,0.272,52.6,,2.69,6.4,,19.99,50.0,,69.9,,79.9,,7.6,95.7,,58.8,70.4,,319,73.7,,59.9,,71.5,62.0,t24,62.1,57.9,,"1,481",
308,GRD,Grenada,,44.4,,42.9,,"107,317",100.0,,5689.32,54.218,55.3,,1.89,5.4,,10.9,,0.19,10.5,,7.7,11.3,,45.9,,67.1,,2.935,83.9,,10.82,50.4,,12.39,24.6,,92.2,,86.8,,25.5,65.8,,16.0,96.4,,27,98.2,,97.5,,97.0,96.0,t10,99.2,99.1,,"8,553",
320,GTM,Guatemala,,24.2,,26.1,,"16,582,469",27.6,,6701.89,62.713,65.9,,0.21,0.6,,10.4,,0.14,4.2,,10.8,16.7,,22.2,,44.4,,2.630,82.4,,2.68,6.4,,3.42,0.0,,78.2,,88.1,,15.6,82.3,,28.5,88.8,,88,93.1,,68.4,,81.3,75.0,,65.6,61.8,,"3,617",
324,GIN,Guinea,LDC,30.2,,33.8,,"12,395,924",32.1,,5203.73,49.591,49.5,,6.05,17.3,,36.5,,0.45,40.9,,19.9,32.0,,26.5,,24.7,,0.204,48.8,,1.61,0.6,,13.49,28.3,,39.5,,58.3,,17.5,79.2,,89.0,52.1,,679,43.6,,20.7,,32.0,9.3,,38.8,32.0,,678,
624,GNB,Guinea-Bissau,LDC,52.4,,58.5,,"1,815,698",61.7,,5001.30,47.533,46.9,,15.26,43.6,,82.0,,0.87,91.1,,44.0,72.8,,46.2,,35.8,,0.695,64.9,,2.72,6.6,,22.01,56.7,,41.7,,56.1,,28.3,61.2,,88.1,52.7,,549,54.5,,27.3,,45.6,27.4,,34.5,27.2,u6,595,
328,GUY,Guyana,,50.7,,61.7,,"773,303",74.8,,6008.23,57.046,58.8,,27.87,79.6,,33.5,,0.44,39.6,,17.1,27.3,,39.7,,63.3,,8.020,97.1,,6.94,29.4,,9.83,16.1,,85.9,,87.3,,8.5,94.2,,32.4,86.4,,229,81.3,,84.5,,85.6,80.9,t23,89.3,88.2,,"4,159",
332,HTI,Haiti,LDC,30.6,,32.6,,"10,847,334",34.2,,5543.28,52.869,53.6,,1.87,5.3,,37.4,,0.51,47.9,,16.9,26.9,,28.5,,52.5,,5.959,93.2,,3.68,11.8,,6.34,4.5,,48.0,,55.4,,46.8,30.3,,67.0,65.5,,359,70.3,,40.6,,61.0,48.0,t6,39.8,33.1,u7,814,
340,HND,Honduras,,29.5,,30.1,,"9,112,867",36.8,,6564.09,61.635,64.5,,0.90,2.6,,16.4,,0.21,12.9,,12.8,20.0,,28.9,,53.0,,3.556,86.4,,5.12,19.6,,6.46,4.9,,82.9,,89.3,,14.8,83.7,,18.7,94.7,,129,89.6,,76.4,,89.0,85.3,,70.8,67.5,,"2,093",
356,IND,India,,22.9,,14.7,,"1,324,171,354",0.0,,4147.23,37.822,34.8,,2.66,7.6,,16.3,,0.14,4.5,,17.6,28.2,,31.0,,50.8,,4.819,90.4,,3.59,11.3,,8.37,11.2,,74.2,,83.3,,14.5,84.2,,43.0,80.0,,174,85.8,,65.1,,69.3,59.1,t1,74.0,71.1,,"1,591",
360,IDN,Indonesia,,24.2,,23.6,,"261,115,456",0.0,,6123.63,58.033,60.0,,7.37,21.0,,13.2,,0.14,4.6,,13.9,21.8,,24.9,,31.2,,0.338,55.4,,2.77,6.9,,10.60,18.7,,90.4,,91.7,,7.9,95.2,,26.4,90.1,,126,89.9,,89.1,,95.4,93.8,,85.8,84.3,,"3,640",
